label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
shallow_squat,0.537249207,0.25076279,0.26813221,0.999886811,0.344723433,0.297484696,0.0968692,0.999834359,0.503000498,0.35979268,-0.054444969,0.999950111,0.269256502,0.572205901,0.113463297,0.999991596,0.381323427,0.602852046,-0.11426843,0.999998689,0.375608832,0.595647991,0.703156769,0.061312195,0.549636602,0.588357329,0.118927702,0.897172987,0.322306067,0.744647205,0.759767413,0.407742471,0.477475882,0.825399041,-0.02280236,0.956994534
shallow_squat,0.547955275,0.24759005,0.380758554,0.999918997,0.35308218,0.291254967,0.179425567,0.999865174,0.512708247,0.353614539,0.028477857,0.99996084,0.269427121,0.566573858,0.119639173,0.999994159,0.382599324,0.596064568,-0.120635718,0.999999106,0.399216741,0.587363839,0.699273586,0.057550639,0.559081495,0.580670357,0.056571972,0.901157737,0.326372385,0.751761675,0.675029874,0.414766997,0.488944113,0.827184021,-0.182841584,0.963654935
shallow_squat,0.538356781,0.233478814,0.430692643,0.999933541,0.339992017,0.259224892,0.261778533,0.999854803,0.49401477,0.316764444,0.037720758,0.999968231,0.239145488,0.525172412,0.142028451,0.999993205,0.319428086,0.552201331,-0.142848849,0.999998987,0.394932687,0.562031388,0.615751326,0.104876854,0.519600987,0.585707545,-0.03269298,0.940313041,0.323556006,0.770424962,0.577736914,0.543400884,0.475197941,0.854206741,-0.303942829,0.978309572
shallow_squat,0.54338187,0.232693315,0.447985232,0.999947429,0.339115322,0.256109834,0.323391914,0.999869943,0.493717104,0.314887196,0.060871009,0.999973536,0.234737456,0.517014802,0.148538873,0.999994397,0.316451877,0.547128081,-0.149330601,0.999999166,0.395639956,0.561860323,0.65299046,0.150001809,0.514360845,0.592007041,-0.017588247,0.964426398,0.333564758,0.764474034,0.615586162,0.645274341,0.476593792,0.858241081,-0.310158342,0.987064481
shallow_squat,0.533091128,0.230135933,0.400659502,0.99994421,0.338695079,0.248647019,0.235434726,0.999875665,0.49431935,0.309560508,0.02504742,0.999970734,0.232153878,0.501836538,0.13158536,0.999991953,0.313274711,0.53544718,-0.132447571,0.999998391,0.378388256,0.587331355,0.512876868,0.206893235,0.502270222,0.611286163,-0.032821815,0.97522223,0.333064854,0.791670442,0.459023207,0.712995172,0.476802051,0.87960273,-0.264747769,0.98960644
shallow_squat,0.474003524,0.235022172,0.659978628,0.999653637,0.388042927,0.27951014,0.296746492,0.999857426,0.573149681,0.284540266,0.328938484,0.999968052,0.401382685,0.525534153,0.002932307,0.999985218,0.51074791,0.534253597,-0.004659964,0.999991179,0.315025091,0.57315433,0.338652194,0.391036391,0.635537028,0.564276516,0.335398138,0.934372127,0.345794946,0.738764167,0.214219794,0.729090869,0.616046309,0.755464733,0.225037813,0.919531226
shallow_squat,0.465002656,0.20616436,0.655059159,0.999293208,0.375905931,0.265198469,0.226031378,0.999787569,0.577051342,0.266390026,0.258747518,0.999802351,0.416307926,0.512777328,-0.002778655,0.99991852,0.549884737,0.511654675,0.00173892,0.999941826,0.318897754,0.568801463,0.330997199,0.743668497,0.639943182,0.599716961,0.379128963,0.959725678,0.347034514,0.772869587,0.006954053,0.875833809,0.70671916,0.762574613,0.052588657,0.957398295
shallow_squat,0.522599459,0.277123779,0.501999557,0.999637246,0.464293569,0.348700851,0.150189906,0.999864817,0.622615099,0.339196235,0.283917665,0.999854505,0.52720356,0.548525274,-0.070058882,0.999948263,0.631680667,0.548761308,0.06948854,0.999957383,0.401350021,0.55251348,0.148826167,0.875534236,0.672277987,0.59964937,0.363382787,0.962009549,0.462442666,0.70974052,-0.01449158,0.936916828,0.651887953,0.688197553,0.187639505,0.968628943
shallow_squat,0.517817736,0.271077454,0.582352221,0.999841094,0.456053168,0.342472523,0.185299918,0.999908209,0.621026278,0.334827185,0.338499993,0.999892652,0.523688197,0.550262272,-0.066549852,0.999971628,0.632115781,0.550060213,0.065937318,0.999972939,0.405976534,0.561365545,0.224617749,0.945892572,0.676160038,0.5995965,0.386835128,0.978836834,0.461421698,0.714585721,0.002329044,0.971943974,0.64832449,0.697318971,0.147951946,0.984507382
shallow_squat,0.515604079,0.266666114,0.600625157,0.99991709,0.452125788,0.335757524,0.203314513,0.999900997,0.620525658,0.329881638,0.358000249,0.999853551,0.521364272,0.539667368,-0.067044027,0.999975502,0.630454302,0.536594152,0.06648273,0.999971211,0.407958984,0.563580155,0.2027134,0.973588943,0.671035886,0.601055324,0.380123258,0.984933674,0.460513055,0.724796534,-0.00651201,0.985774636,0.646335423,0.70810318,0.130862787,0.9910267
shallow_squat,0.526074648,0.252429515,0.680439532,0.999916315,0.465956718,0.319978684,0.256572366,0.999847531,0.622806728,0.320454806,0.41542694,0.999792337,0.52947247,0.519669116,-0.071393333,0.999959052,0.635864794,0.518295646,0.071018912,0.99994868,0.426676452,0.567857325,0.104705289,0.987863183,0.646363854,0.580912709,0.288517088,0.98433578,0.460927397,0.743239999,-0.099174321,0.992622614,0.651731908,0.730066657,0.046366349,0.992500663
shallow_squat,0.517689228,0.243936777,0.690594792,0.999915004,0.472776681,0.312148899,0.244842306,0.999794662,0.627891839,0.309740543,0.432044506,0.99977082,0.539902091,0.506622076,-0.081943288,0.999895215,0.645903409,0.506958425,0.081556685,0.999883294,0.436782032,0.56867224,0.050264925,0.992260933,0.651279747,0.58025825,0.264815032,0.98097688,0.463337302,0.748449862,-0.120629326,0.99365586,0.657970607,0.736465514,0.062022876,0.988897979
