label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
lumbar_error,0.150119126,0.189877063,-0.123823851,0.998911917,0.378057063,0.196883634,-0.350428432,0.997070074,0.305661917,0.260418147,0.271484822,0.997686148,0.484636605,0.382540017,-0.339497119,0.681456149,0.364867061,0.439850897,0.175280347,0.137573019,0.327037454,0.437594771,-0.140380308,0.399983525,0.306127578,0.482437372,-0.219519868,0.126032397,0.720436096,0.381237209,-0.182672322,0.997380257,0.650905669,0.409381628,0.18323566,0.998368144,0.517358422,0.56874609,-0.340726882,0.877152383,0.469536394,0.546147943,0.190629542,0.345690459,0.668439686,0.677320421,-0.09407375,0.527487814,0.691326499,0.643637478,0.207436293,0.181240261
lumbar_error,0.098436899,0.216002077,-0.123020478,0.99672699,0.356279075,0.15509674,-0.448096603,0.991289973,0.311447054,0.256058365,0.245697886,0.994573295,0.387434065,0.385135263,-0.438313872,0.76074636,0.331977397,0.405383945,0.365684628,0.118241712,0.237860247,0.505754828,-0.227778345,0.583488345,0.253095806,0.528418064,0.173611745,0.12520647,0.789178491,0.326840013,-0.185553759,0.997880816,0.723643422,0.373567134,0.186060369,0.997976303,0.637929976,0.496632427,-0.458645552,0.905589759,0.542218268,0.552996278,0.252511382,0.399251699,0.722089529,0.600894868,0.019020287,0.472267896,0.744715095,0.611740053,0.339635074,0.229914501
lumbar_error,0.94477123,0.162810639,0.001672288,0.999622941,0.651105285,0.183771342,0.425189584,0.999050319,0.691317022,0.215503365,-0.623368204,0.999578297,0.417978585,0.295692503,0.49110055,0.081774943,0.463353753,0.372032911,-0.579699576,0.871921241,0.365840256,0.429797322,0.343329996,0.065563791,0.489579499,0.525086164,-0.191215008,0.523259282,0.201354876,0.395237774,0.344257891,0.999079049,0.191235989,0.434214532,-0.343171895,0.999763668,0.559491098,0.510252297,0.922228515,0.343547732,0.448136091,0.620659292,-0.68036288,0.94418484,0.470971435,0.677589417,1.363669157,0.293418825,0.436817735,0.862378418,-0.875509143,0.901325464
lumbar_error,0.936429679,0.161990449,-0.156497926,0.999864697,0.655440629,0.191191271,0.350465953,0.999456108,0.688727438,0.212036103,-0.702448606,0.999934316,0.428508788,0.299883634,0.396490902,0.043139536,0.502078772,0.38338545,-0.710538745,0.944900274,0.344797641,0.423511624,0.234451085,0.034982912,0.498861015,0.561366022,-0.386089504,0.679276884,0.235008061,0.388099164,0.340241134,0.999019086,0.181296468,0.411706746,-0.339185447,0.999871254,0.607860029,0.457577527,0.85102272,0.261961788,0.413674474,0.638091505,-0.602103829,0.972028315,0.383607328,0.569971681,1.237999201,0.284892321,0.41951859,0.847914994,-0.59026742,0.93242687
lumbar_error,0.925159037,0.167001545,-0.150729179,0.99987483,0.639831305,0.194144249,0.371346325,0.999520123,0.673708856,0.219036877,-0.682283759,0.999976337,0.52300036,0.341285676,0.437950492,0.035720389,0.564317763,0.4220936,-0.67859441,0.940941334,0.496863306,0.47233969,0.241017327,0.030321222,0.546557665,0.596897542,-0.371235549,0.679082155,0.214630917,0.378223777,0.344040304,0.999379754,0.151705816,0.408273965,-0.343203217,0.999951363,0.471720487,0.448391229,1.400691032,0.151986107,0.380796969,0.590807736,-0.782184601,0.983672321,0.404141068,0.55910933,2.211951256,0.265824169,0.441556066,0.772411346,-1.097851515,0.949519396
lumbar_error,0.926586449,0.154270977,-0.172888443,0.999780357,0.639692128,0.186824962,0.34763512,0.998828173,0.6708408,0.212205917,-0.662871361,0.999944806,0.56712091,0.370159119,0.385365456,0.060422972,0.587118566,0.417540431,-0.630001903,0.929924726,0.559109151,0.532068789,0.284766793,0.043242201,0.558595061,0.612107813,-0.366222084,0.699402571,0.222171471,0.355442166,0.317726493,0.998793304,0.149827376,0.380800158,-0.316904783,0.999871969,0.487236023,0.481308162,0.930981338,0.153576985,0.376192093,0.554380953,-0.460680097,0.981985033,0.46848911,0.658516586,1.417571187,0.242808908,0.422420382,0.770152926,-0.535353243,0.938479841
lumbar_error,0.95902282,0.252626717,-0.301306486,0.999892533,0.740563214,0.128166839,0.092073895,0.999443233,0.649245322,0.260895818,-0.691445649,0.999703169,0.623687148,0.305083781,0.387924254,0.11037562,0.515530825,0.58503741,-0.716949344,0.981524825,0.623618424,0.527166784,0.435611784,0.100102842,0.517798662,0.900636256,-0.508901,0.903213978,0.257371873,0.255848736,0.249210551,0.988817394,0.152004957,0.324195027,-0.248603255,0.988267243,0.545772016,0.555038154,0.383811891,0.210498542,0.469579309,0.664484739,-0.146051705,0.808516383,0.557409823,0.882226467,0.648632228,0.162302449,0.534718692,0.957003117,0.280277789,0.621779323
lumbar_error,0.879161894,0.322512597,-0.101211637,0.999695778,0.630188227,0.254703939,0.441929787,0.997376025,0.642963707,0.287182659,-0.557726204,0.999242604,0.537554085,0.519027531,0.547137141,0.080543354,0.602437556,0.610522985,-0.453875899,0.899753571,0.571882665,0.640659451,0.335088938,0.053481191,0.587866366,0.637992859,0.121987656,0.669560134,0.111548118,0.26196,0.287144065,0.991354585,0.102052696,0.278474689,-0.285905331,0.991852582,0.322506964,0.586924732,0.307773113,0.273614615,0.320877254,0.644259691,-0.253811955,0.909172773,0.324843168,0.951043963,0.433552414,0.239908546,0.315685421,0.964405239,-0.055860832,0.767828345
lumbar_error,0.895498395,0.28471756,0.070397124,0.999799609,0.634930849,0.220458448,0.592071354,0.997422338,0.671132982,0.309443325,-0.443361789,0.999329269,0.535831809,0.529964626,0.707636535,0.073617652,0.61032933,0.627108037,-0.269242108,0.863474011,0.542511642,0.657645583,0.553669512,0.041240271,0.601422071,0.633382797,0.359146029,0.587616622,0.107430443,0.314085871,0.297727466,0.994507551,0.103695825,0.34511292,-0.297171175,0.995096326,0.433970302,0.607251704,0.41106984,0.206656709,0.436547518,0.658369005,-0.292595327,0.932319283,0.276051193,0.916913092,0.533367097,0.239929751,0.255407482,0.965747833,-0.038268276,0.813266039
lumbar_error,0.884659886,0.211406842,-0.07826297,0.999352455,0.627944887,0.209125116,0.3925547,0.995957315,0.651186287,0.213086545,-0.493138224,0.999028325,0.536134481,0.335149914,0.482865065,0.053096373,0.533751547,0.393458813,-0.380911559,0.744467795,0.600677371,0.368365854,0.259777963,0.027739037,0.554010868,0.411564797,0.112937346,0.399359435,0.210933879,0.394896001,0.247102931,0.991127729,0.147144184,0.401327848,-0.246316582,0.992194057,0.403317243,0.573843718,0.219528958,0.249570742,0.326043457,0.640438795,-0.249183774,0.914256275,0.337796658,0.811627209,0.251151383,0.266841084,0.367620379,0.925086379,-0.151981682,0.752023339
