label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
C,0.8992538452148438,0.5011984705924988,-0.0863642767071724,0.9991104602813721,0.7860554456710815,0.472666472196579,0.2908959984779358,0.9953716993331909,0.7866078615188599,0.4874122738838196,-0.32841870188713074,0.9992023706436157,0.727962076663971,0.5511584877967834,0.304971307516098,0.27137792110443115,0.740993857383728,0.5753098726272583,-0.271218478679657,0.9317207932472229,0.8571192026138306,0.5597133040428162,0.17911668121814728,0.3428122103214264,0.8774711489677429,0.5721397399902344,0.04917410761117935,0.88632732629776,0.4975132346153259,0.49126261472702026,0.1975218951702118,0.989534854888916,0.49007347226142883,0.4970024824142456,-0.197482630610466,0.9955324530601501,0.275430828332901,0.518259584903717,0.3309117257595062,0.24342267215251923,0.24447180330753326,0.5199180841445923,-0.24051864445209503,0.8646050095558167,0.06415478885173798,0.5162985920906067,0.47670701146125793,0.36460039019584656,0.02287781797349453,0.5190869569778442,-0.2814319431781769,0.885334849357605,0.041750553995370865,0.5096210241317749,0.48483115434646606,0.4658493399620056,-0.051382794976234436,0.5044535398483276,-0.2932600677013397,0.8625231385231018,0.051894206553697586,0.563669741153717,0.4341588020324707,0.5403468012809753,0.013046993874013424,0.5703485608100891,-0.43638694286346436,0.8561473488807678
H,0.3623729646205902,0.5831831693649292,0.003266071667894721,0.994833767414093,0.38842204213142395,0.5410813689231873,-0.13491016626358032,0.9947965145111084,0.38754650950431824,0.5079695582389832,0.1502564698457718,0.997185230255127,0.3800775110721588,0.647956907749176,-0.15849460661411285,0.967527449131012,0.382371723651886,0.598077118396759,0.23844321072101593,0.25191888213157654,0.33061978220939636,0.6585633754730225,-0.048681050539016724,0.9598849415779114,0.33831143379211426,0.6333426237106323,0.2375764548778534,0.401804119348526,0.5079252123832703,0.4357011318206787,-0.09343553334474564,0.9940650463104248,0.4992104470729828,0.41773462295532227,0.09352180361747742,0.9951074719429016,0.5933516621589661,0.5094447731971741,-0.05351525917649269,0.9478715658187866,0.5857817530632019,0.4990304410457611,0.15541860461235046,0.3776765763759613,0.6759238839149475,0.5837512612342834,-0.016179945319890976,0.9434332251548767,0.6559232473373413,0.5686670541763306,0.20859560370445251,0.5213152766227722,0.6954811215400696,0.5830065011978149,-0.014307829551398754,0.938534140586853,0.6715061664581299,0.5698287487030029,0.21390731632709503,0.6444541811943054,0.6561418771743774,0.6449007391929626,-0.053049180656671524,0.926546037197113,0.6458824276924133,0.6304596066474915,0.19677278399467468,0.6343241930007935
H,0.14650943875312805,0.606136679649353,0.0075384583324193954,0.9998381733894348,0.2014538049697876,0.5339623093605042,-0.20518286526203156,0.9995611906051636,0.21774999797344208,0.47057998180389404,0.22061091661453247,0.9970330595970154,0.1801544725894928,0.7277376055717468,-0.23627763986587524,0.9925975799560547,0.21028362214565277,0.630754828453064,0.36490532755851746,0.17727607488632202,0.13114765286445618,0.7360506057739258,-0.053074050694704056,0.9537314772605896,0.14198261499404907,0.690769612789154,0.43067672848701477,0.18791355192661285,0.43285220861434937,0.42503660917282104,-0.12065040320158005,0.9990074634552002,0.43535006046295166,0.3927980661392212,0.12062667310237885,0.9985799193382263,0.6085584759712219,0.5078731775283813,-0.058729082345962524,0.9234484434127808,0.6052068471908569,0.4914040267467499,0.13248880207538605,0.4091491401195526,0.7780877947807312,0.5916461944580078,0.0021869295742362738,0.8901135325431824,0.7663037776947021,0.5736121535301208,0.18184426426887512,0.5747872591018677,0.8108271956443787,0.5909188985824585,0.004566003102809191,0.8656973838806152,0.8026865720748901,0.5739181637763977,0.18264025449752808,0.674386203289032,0.7499489188194275,0.7152997255325317,-0.06397708505392075,0.8497223854064941,0.7435611486434937,0.6844027638435364,0.11962471157312393,0.6155657172203064
L,0.21687708795070648,0.5803868770599365,-0.1606210619211197,0.9999786615371704,0.32283514738082886,0.595116376876831,-0.2780958116054535,0.9998610019683838,0.31066498160362244,0.5705934762954712,0.058388687670230865,0.9992402195930481,0.33009809255599976,0.8049145340919495,-0.2341632843017578,0.9936338067054749,0.3306129276752472,0.736526608467102,0.10979747027158737,0.545099675655365,0.244709774851799,0.7951551675796509,-0.10040845721960068,0.9905304312705994,0.26538705825805664,0.760104775428772,0.09802163392305374,0.6488628387451172,0.49962204694747925,0.6929962038993835,-0.09499091655015945,0.9997084736824036,0.48854032158851624,0.674915611743927,0.09488516300916672,0.9995133280754089,0.6375299692153931,0.7117947340011597,0.014768403023481369,0.9849766492843628,0.6205611824989319,0.7009726166725159,0.21756233274936676,0.8404555320739746,0.7559605836868286,0.6591886281967163,0.1434476226568222,0.9804005026817322,0.7283987998962402,0.6578249931335449,0.3619401752948761,0.8858298659324646,0.7770009636878967,0.6365416049957275,0.15559063851833344,0.9704590439796448,0.7518913149833679,0.6363533139228821,0.37701383233070374,0.8713128566741943,0.7618064284324646,0.7559747695922852,0.10512985289096832,0.9729658365249634,0.7369916439056396,0.7368528842926025,0.36676424741744995,0.9203808307647705
H,0.29425597190856934,0.6672587990760803,0.0014095382066443563,0.9995706677436829,0.3161396086215973,0.5587527751922607,-0.1849847435951233,0.9997459650039673,0.30766066908836365,0.5091800689697266,0.18256719410419464,0.998261570930481,0.27076712250709534,0.7678806185722351,-0.29450517892837524,0.9971422553062439,0.26121893525123596,0.6691340804100037,0.2890995442867279,0.41128459572792053,0.15534204244613647,0.8044326305389404,-0.20943695306777954,0.993066132068634,0.17350295186042786,0.7254064083099365,0.1636950671672821,0.7255465984344482,0.5387495756149292,0.28458887338638306,-0.14221663773059845,0.999647855758667,0.5158107280731201,0.2680402994155884,0.14226152002811432,0.9992948174476624,0.6826525926589966,0.4829692840576172,-0.04686420410871506,0.9874189496040344,0.6540862321853638,0.4558154344558716,0.22938022017478943,0.37512364983558655,0.8333942890167236,0.634486973285675,0.035565540194511414,0.9810181856155396,0.8043015599250793,0.6066550612449646,0.332319974899292,0.5286729335784912,0.8596519231796265,0.642257571220398,0.037465862929821014,0.9731663465499878,0.830491840839386,0.6082741022109985,0.3391965925693512,0.6645723581314087,0.8140679001808167,0.7768334746360779,-0.025672102347016335,0.9675334692001343,0.8080334067344666,0.6861185431480408,0.30520328879356384,0.650238037109375
H,0.22280190885066986,0.8456374406814575,-0.022342082113027573,0.9516894221305847,0.23827260732650757,0.7967700362205505,-0.2549116015434265,0.9994339942932129,0.22762513160705566,0.7761328816413879,0.1235959529876709,0.9926422834396362,0.19783149659633636,0.7449541091918945,-0.331942617893219,0.9349603652954102,0.17377544939517975,0.7040504217147827,0.13029620051383972,0.6257113218307495,0.15705662965774536,0.6726308465003967,-0.33442360162734985,0.8896936178207397,0.1563233733177185,0.6164877414703369,0.033880092203617096,0.42982837557792664,0.5412983298301697,0.702718198299408,-0.17522910237312317,0.9980067014694214,0.5222111940383911,0.6983440518379211,0.17502979934215546,0.9940851330757141,0.7452207803726196,0.7843815088272095,-0.11515706777572632,0.9594501256942749,0.7243781685829163,0.7789110541343689,0.22538147866725922,0.1315947324037552,0.9210048913955688,0.8591776490211487,-0.044087957590818405,0.9216286540031433,0.900092601776123,0.8512400388717651,0.30826741456985474,0.18889261782169342,0.9589294791221619,0.8707332015037537,-0.043425001204013824,0.9286016225814819,0.9405519366264343,0.8588564395904541,0.3102494180202484,0.32503828406333923,0.8887014389038086,0.9122900366783142,-0.15369035303592682,0.9081019163131714,0.8788783550262451,0.8984840512275696,0.2231268435716629,0.30379679799079895
L,0.21086688339710236,0.5925610065460205,-0.15959686040878296,0.9948329925537109,0.3180329203605652,0.621289074420929,-0.29060423374176025,0.9997496008872986,0.3052034080028534,0.5923668742179871,0.07122914493083954,0.998612642288208,0.31971991062164307,0.8309366703033447,-0.260464072227478,0.9867508411407471,0.3128322660923004,0.755483090877533,0.11947480589151382,0.5630906224250793,0.22630038857460022,0.8118612170219421,-0.13094893097877502,0.9803114533424377,0.2415076047182083,0.7668138742446899,0.08068886399269104,0.6719728708267212,0.4896000623703003,0.7159091234207153,-0.10386102646589279,0.9992901682853699,0.48019537329673767,0.7027108669281006,0.10375421494245529,0.998772382736206,0.6281654834747314,0.7199767827987671,0.007239708211272955,0.9830683469772339,0.6144241094589233,0.7166152596473694,0.21395350992679596,0.7868769764900208,0.7522895932197571,0.6855689883232117,0.1385488361120224,0.9797801375389099,0.7315946817398071,0.6813798546791077,0.35707980394363403,0.8339266777038574,0.7752227783203125,0.6657911539077759,0.15014390647411346,0.9718148708343506,0.7571899890899658,0.6618843674659729,0.3710712492465973,0.8291163444519043,0.7516871094703674,0.7839643359184265,0.08800763636827469,0.9752780199050903,0.7331855297088623,0.7697423100471497,0.34958091378211975,0.8779977560043335
L,0.3325985074043274,0.5651794672012329,-0.03736336529254913,0.9988083243370056,0.3939059376716614,0.5269678235054016,-0.13869330286979675,0.9995508790016174,0.39398136734962463,0.5271651744842529,0.11070495843887329,0.9980151653289795,0.4178280830383301,0.6280032396316528,-0.19270049035549164,0.9781627058982849,0.43363088369369507,0.6097585558891296,0.18319688737392426,0.2874637246131897,0.3682101368904114,0.6562528610229492,-0.18864186108112335,0.9761207699775696,0.3874080181121826,0.6338792443275452,0.21028046309947968,0.477771520614624,0.5171410441398621,0.5941787958145142,-0.07883721590042114,0.9983807802200317,0.5156214237213135,0.5846404433250427,0.07878627628087997,0.9973627328872681,0.6203078627586365,0.5966427326202393,-0.05966786667704582,0.9573990702629089,0.6150586605072021,0.5914738774299622,0.08454238623380661,0.6815604567527771,0.7159240245819092,0.5784308314323425,-0.02191643975675106,0.9798276424407959,0.7025713324546814,0.5770791172981262,0.13100284337997437,0.8073877692222595,0.7344115972518921,0.5619416236877441,-0.020326506346464157,0.9726967811584473,0.7198728919029236,0.5618483424186707,0.13371720910072327,0.8167389035224915,0.7231288552284241,0.6395211815834045,-0.07226463407278061,0.9781398177146912,0.7088371515274048,0.6357132792472839,0.10127654671669006,0.8847854733467102
H,0.40023988485336304,0.5861830115318298,-0.006187634076923132,0.9997032880783081,0.42462679743766785,0.5428360104560852,-0.13523027300834656,0.9998455047607422,0.4227733910083771,0.5091928243637085,0.13617604970932007,0.998875081539154,0.4181737005710602,0.6492925882339478,-0.1577509194612503,0.9914599657058716,0.41955816745758057,0.5955806970596313,0.21851181983947754,0.2771288752555847,0.3680839240550995,0.6542567610740662,-0.05959530919790268,0.9836876392364502,0.3737126886844635,0.6292605996131897,0.2180015742778778,0.4718073606491089,0.5438322424888611,0.4403471350669861,-0.08962300419807434,0.999535083770752,0.5353463292121887,0.4198479950428009,0.08969077467918396,0.999148964881897,0.6283674240112305,0.5099783539772034,-0.04108787700533867,0.9632534980773926,0.6194216012954712,0.4984378516674042,0.1586567908525467,0.3992418050765991,0.7085588574409485,0.5828567147254944,-0.007286081090569496,0.962795078754425,0.6882016658782959,0.5679610967636108,0.23034662008285522,0.5611791014671326,0.7280742526054382,0.5854122042655945,-0.005809355527162552,0.9551539421081543,0.7020506858825684,0.5699055790901184,0.23766015470027924,0.6922822594642639,0.6856034398078918,0.6383334398269653,-0.04308830201625824,0.942246675491333,0.6763456463813782,0.6244539618492126,0.22462862730026245,0.6797395944595337
L,0.21285001933574677,0.6571618318557739,-0.11151649802923203,0.9998859763145447,0.3202042579650879,0.611347496509552,-0.24430447816848755,0.9997541308403015,0.30753690004348755,0.6068102121353149,0.08361842483282089,0.9982813000679016,0.3211064338684082,0.81024169921875,-0.23857438564300537,0.9907442927360535,0.30994611978530884,0.7563519477844238,0.21331298351287842,0.3794509768486023,0.23373639583587646,0.7993626594543457,-0.13628624379634857,0.9864052534103394,0.23586468398571014,0.7560338973999023,0.2847389280796051,0.5520573258399963,0.4969969093799591,0.700572669506073,-0.0933680608868599,0.9994712471961975,0.4875056743621826,0.6936966180801392,0.09327835589647293,0.9992184638977051,0.6319496631622314,0.7077658176422119,0.02562313713133335,0.9599441289901733,0.619270920753479,0.7040702700614929,0.19613566994667053,0.6762759685516357,0.7580228447914124,0.6782640218734741,0.1574372947216034,0.9522926807403564,0.738756000995636,0.6722080707550049,0.33192989230155945,0.6880994439125061,0.7830567359924316,0.6612659692764282,0.16951395571231842,0.9474912881851196,0.7639719843864441,0.6575105786323547,0.3454758822917938,0.7180548906326294,0.7554903030395508,0.7732654809951782,0.1141107827425003,0.9387386441230774,0.7392142415046692,0.7583743929862976,0.32165393233299255,0.7853292226791382
